iter	Passed	Remaining
415	3010	7995
416	3017	7989
417	3023	7977
418	3029	7966
419	3036	7959
420	3045	7956
421	3051	7946
422	3057	7936
423	3064	7929
424	3072	7924
425	3078	7913
426	3087	7910
427	3095	7904
428	3103	7900
429	3110	7891
430	3116	7880
431	3124	7875
432	3131	7867
433	3137	7858
434	3145	7853
435	3151	7843
436	3159	7836
437	3166	7829
438	3173	7820
439	3180	7815
440	3187	7806
441	3193	7796
442	3201	7790
443	3208	7782
444	3214	7773
445	3223	7769
446	3231	7763
447	3238	7756
448	3246	7751
449	3252	7741
450	3260	7736
451	3269	7731
452	3274	7719
453	3281	7713
454	3288	7703
455	3294	7695
456	3300	7684
457	3307	7676
458	3316	7673
459	3324	7668
460	3331	7659
461	3338	7653
462	3346	7647
463	3355	7643
464	3363	7637
465	3369	7628
466	3375	7619
467	3384	7615
468	3391	7607
469	3403	7610
470	3411	7605
471	3417	7596
472	3425	7590
473	3433	7583
474	3439	7574
475	3447	7567
476	3454	7561
477	3462	7555
478	3468	7545
479	3475	7537
480	3481	7527
481	3487	7518
482	3496	7513
483	3502	7505
484	3509	7495
485	3516	7488
486	3522	7479
487	3529	7472
488	3539	7468
489	3546	7462
490	3554	7457
491	3561	7449
492	3567	7439
493	3575	7432
494	3580	7422
495	3587	7413
496	3594	7406
497	3604	7405
498	3612	7398
499	3618	7388
500	3626	7382
501	3634	7377
502	3641	7370
503	3648	7361
504	3656	7355
505	3663	7349
506	3671	7342
507	3680	7338
508	3687	7331
509	3694	7323
510	3701	7316
511	3709	7310
512	3717	7304
513	3725	7298
514	3734	7295
515	3742	7288
516	3748	7279
517	3756	7273
518	3764	7267
519	3770	7258
520	3778	7251
521	3785	7244
522	3792	7236
523	3800	7230
524	3804	7218
525	3811	7210
526	3818	7201
527	3825	7195
528	3832	7186
529	3839	7180
530	3847	7173
531	3856	7169
532	3863	7161
533	3869	7151
534	3876	7143
535	3883	7137
536	3891	7130
537	3897	7121
