iter	RMSE
0	2.826907053
1	2.7832147
2	2.744536163
3	2.70639183
4	2.670488005
5	2.635068223
6	2.599175786
7	2.565584781
8	2.536311532
9	2.505490395
10	2.477679499
11	2.455066063
12	2.428115461
13	2.412842138
14	2.388595605
15	2.370023264
16	2.347853129
17	2.325575653
18	2.311764938
19	2.293612467
20	2.278333672
21	2.259051381
22	2.241798604
23	2.223671039
24	2.20598286
25	2.189299886
26	2.176517616
27	2.163633555
28	2.151996985
29	2.139423377
30	2.129582747
31	2.118851614
32	2.109004738
33	2.096788723
34	2.087814883
35	2.079304205
36	2.071514807
37	2.063552381
38	2.057244806
39	2.049522904
40	2.039117152
41	2.032957288
42	2.026175227
43	2.020258139
44	2.013689867
45	2.007983833
46	2.000637548
47	1.994841285
48	1.988932178
49	1.984436536
50	1.977996254
51	1.971889754
52	1.967762627
53	1.963099927
54	1.95913855
55	1.955612293
56	1.951230491
57	1.947899041
58	1.943867683
59	1.940021184
60	1.935327962
61	1.932465862
62	1.925758273
63	1.921894593
64	1.918727783
65	1.915988094
66	1.912500415
67	1.9100889
68	1.90615156
69	1.901974439
70	1.90055258
71	1.89782761
72	1.895393583
73	1.892356147
74	1.8889777
75	1.88610406
76	1.882336234
77	1.880309195
78	1.877191017
79	1.874555725
80	1.871334966
81	1.869644241
82	1.867327767
83	1.864658133
84	1.863422127
85	1.861223567
86	1.856859787
87	1.854596894
88	1.853431442
89	1.851149259
90	1.848992338
91	1.846982459
92	1.844927903
93	1.841911985
94	1.838896888
95	1.837407358
96	1.836275497
97	1.834492399
98	1.831566524
99	1.830035431
100	1.828266906
101	1.827163996
102	1.82531355
103	1.824262493
104	1.823079058
105	1.821994719
106	1.818775885
107	1.817492673
108	1.816556285
109	1.814556629
110	1.81318127
111	1.811721285
112	1.810857615
113	1.807469828
114	1.806362916
115	1.805997466
116	1.804745402
117	1.803055879
118	1.801437089
119	1.800738072
120	1.79982378
121	1.797014103
122	1.795647675
123	1.792072759
124	1.789853116
125	1.788499097
126	1.78755456
127	1.785901247
128	1.784251761
129	1.781719173
130	1.780158065
131	1.779207703
132	1.778060688
133	1.776094924
134	1.775182254
135	1.775182245
136	1.773961139
137	1.773082906
138	1.770098959
139	1.768836122
140	1.767149401
141	1.766455262
142	1.765352517
143	1.764518674
144	1.763271176
145	1.761972785
146	1.76087941
147	1.759312829
148	1.758468356
149	1.757783261
150	1.756114647
151	1.755590187
152	1.754147656
153	1.752981943
154	1.751751878
155	1.749967793
156	1.748479784
